Date,Open,High,Low,Close,Volume
2024-10-18,103.365,103.365,101.66,102.43,20824610.0
2024-10-21,100.475,101.65,100.115,100.91,10328625.0
2024-10-22,100.01,101.89,99.8,100.46,20650129.0
2024-10-23,100.165,100.22,97.735,98.0,13638151.0
2024-10-24,96.79,97.41,95.52,96.36,13602870.0
2024-10-25,98.3,98.9,97.05,97.42,16977095.0
2024-10-28,99.03,101.05,98.78,99.93,16044384.0
2024-10-29,101.45,101.45,99.53,99.83,13685370.0
2024-10-30,98.215,99.8,97.58,98.7,10179903.0
2024-10-31,97.8,98.1,96.755,97.98,8379347.0
2024-11-01,98.22,98.2999,97.42,97.58,8501018.0
2024-11-04,98.82,99.88,98.36,98.4,8681889.0
2024-11-05,99.97,101.09,98.955,99.21,10804152.0
2024-11-06,95.8,97.32,94.76,96.73,18162861.0
2024-11-07,99.26,101.1,99.18,100.14,16340404.0
2024-11-08,96.11,96.38,93.69,94.19,24879795.0
2024-11-11,96.16,96.8,95.045,95.42,12556730.0
2024-11-12,92.68,93.33,91.03,91.78,21641878.0
2024-11-13,92.55,92.87,91.28,92.0,12874522.0
2024-11-14,90.89,91.555,90.01,90.58,16946771.0
2024-11-15,90.2,90.7,87.23,88.59,31018266.0
2024-11-18,88.9,89.5,87.85,89.35,13513838.0
2024-11-19,87.16,87.94,86.8184,87.11,19289022.0
2024-11-20,87.04,87.54,86.5,86.77,15174535.0
2024-11-21,86.98,87.0395,85.445,85.58,15869218.0
2024-11-22,83.6,83.68,82.635,83.13,24999202.0
2024-11-25,84.25,85.875,83.75,85.58,15120057.0
2024-11-26,85.815,86.08,84.86,85.18,10241468.0
2024-11-27,86.97,87.54,86.47,86.59,13607643.0
2024-11-29,86.42,87.49,85.97,87.37,7553510.0
2024-12-02,86.94,87.0,85.27,85.95,16537213.0
2024-12-03,86.005,86.64,85.38,85.68,13660713.0
2024-12-04,85.95,85.99,84.27,84.93,13613702.0
2024-12-05,84.795,85.1,83.925,84.15,12979565.0
2024-12-06,86.01,86.69,85.9,85.93,11751505.0
2024-12-09,92.01,94.12,91.83,92.32,32767317.0
2024-12-10,89.785,90.56,89.495,89.83,13859190.0
2024-12-11,88.895,89.165,88.0,88.98,9866019.0
2024-12-12,89.035,90.0,88.49,89.23,9951151.0
2024-12-13,88.19,88.39,87.24,87.82,11608633.0
2024-12-16,85.96,86.9189,85.87,86.06,13216622.0
2024-12-17,85.5,87.6,85.4,87.15,13288728.0
2024-12-18,86.391,87.22,84.8279,85.0,11319469.0
2024-12-19,85.0,85.39,84.24,84.31,13795127.0
2024-12-20,82.21,83.0,81.7,82.28,21270510.0
2024-12-23,82.85,85.31,82.77,85.14,20055113.0
2024-12-24,85.7,85.89,85.0,85.52,5235414.0
2024-12-26,85.72,87.27,85.56,86.08,12016516.0
2024-12-27,84.89,85.27,84.2901,85.06,8629350.0
2024-12-30,84.17,84.95,83.53,84.13,10730977.0
2024-12-31,84.42,85.3499,84.42,84.79,7414994.0
2025-01-02,84.39,85.43,84.2,84.95,10635704.0
2025-01-03,85.1,85.55,84.76,85.54,7689521.0
2025-01-06,86.55,87.3601,85.08,85.52,18077138.0
2025-01-07,84.305,85.11,83.78,84.48,11144054.0
2025-01-08,83.09,83.79,82.72,83.69,9661837.0
2025-01-10,82.25,82.25,80.4,80.53,15393850.0
2025-01-13,80.15,81.08,80.06,80.54,10726627.0
2025-01-14,82.39,82.65,81.49,81.68,8773675.0
2025-01-15,82.63,82.79,82.15,82.44,11655722.0
2025-01-16,82.02,82.59,81.82,82.43,7566488.0
2025-01-17,83.2,85.59,83.03,85.12,21132362.0
2025-01-21,86.87,86.9,84.92,85.38,17099520.0
2025-01-22,85.0,86.54,84.4204,86.4,10354750.0
2025-01-23,85.8,86.2,84.96,86.1,9225628.0
2025-01-24,86.71,89.19,86.48,89.14,18790950.0
2025-01-27,90.59,91.43,89.22,89.99,25999791.0
2025-01-28,90.94,96.43,89.9,96.03,31296275.0
2025-01-29,99.39,101.28,96.45,96.72,75052980.0
2025-01-30,97.3,103.665,97.14,102.74,45929033.0
2025-01-31,102.0,102.5,98.0,98.84,36503531.0
2025-02-03,96.505,101.87,96.07,98.61,29282916.0
2025-02-04,100.59,103.6099,99.68,102.35,29877458.0
2025-02-05,100.165,101.82,99.03,99.28,17017947.0
2025-02-06,101.25,101.74,99.865,100.38,12774618.0
2025-02-07,104.46,107.51,103.0,103.51,39538154.0
2025-02-10,107.32,111.65,106.7,111.32,42429394.0
2025-02-11,113.96,115.54,111.0,112.78,55001297.0
2025-02-12,115.82,119.81,114.965,118.33,44024715.0
